Source,Destination,Shipment_Date,Weight,Volume,Equipment_Type,Carrier_Name,Freight_Rate,Shipment_ID,Service_Level,Temperature,Pickup_Date,Loading_Dock_Type,Shipment_Status,VIN,Payment_Terms,Commodity_Type,Distance,Driver_ID
Chandigarh,Kanpur,March 6 2026,3775 tons,47 CBM,LTL,Schneider National,1055,SH100000,Urgent,35°F,2024-01-15T08:30,Lift Gate,On Hold,VIN 7305745,Prepaid,Furniture,350 KM,DRV 4251273
Hyderabad,Ahmedabad,06-03-2026,16743 kg,25 cubic meters,Container,Ryder Logistics,EUR 3964,SH100001,Next Day,35°F,"January 15, 2024",Side Load,Picked Up,VIN 6998796,PPD,Plastic Goods,400 kilometers,DRIVER2843249
Cochi,Chandigarh,32/02/2026,6272 tons,87 cubic meters,Tanker,XPO Logistics,"USD 3,091",SH100002,Premium,40°F,2024-01-15T08:30,Loading Dock,Delivered,VIN 3410400,COL,Machinery,450-km,DRV 2085114
Chandigarh,Ahmedabad,03-06-2026,15546 Ton,15 cubic meters,Dry Van,Ryder Logistics,"EUR 1,972",SH100003,Economy,2C,15-01-2024,Forklift,Picked Up,VIN1017739,Freight Collect,Textiles,250 km,DRV 7255801
Mumbai,Kanpur,Feb 6 2026,6356 KG,22 CBM,Dry Van,Swift Transport,3575 USD,SH100004,Ground,-10°F,Jan 15 2024,Loading Dock,Picked Up,VIN:2871002,PPD,Steel,1000kms,DRIVER6299254
Raipur,Vijayawada,06-03-2026,19459 lbs,40 m3,Lowboy,FedEx Freight,USD 2129,SH100005,Standard,20 °C,15-01-2024,Rear Load,Cancelled,VIN1343243,Collect,Auto Parts,450-km,DRV7073244
Mumbai,Trichy,Feb 6 2026,9860 KG,34 CBM,FTL,FedEx Freight,2053,SH100006,Economy,Cold,15-01-2024,Ramp,Processing,VIN-8610251,Freight Collect,Plastic Goods,500km,DRV-1357236
Ranchi,Mumbai,03-06-2026,14315 lbs,12 cu ft,FTL,FedEx Freight,$1019,SH100007,STD,40°F,20240115,Loading Dock,On Hold,VIN 3225715,Collect,Electronics,900 km,DRV8792155
Cochi,Chandigarh,March 6 2026,7556 tons,8 cu ft,Dry Van,UPS Logistics,2802,SH100008,Express,40°F,15-01-2024,Open Yard,Cancelled,vin2502247,COL,FMCG,700 km,DRV 9829412
Varanasi,Pune,Feb 6 2026,3983 tons,50 cu ft,FTL,Schneider National,USD 3648,SH100009,Urgent,-10°F,01/15/2024,Forklift,Pending,VIN 6928620,Prepaid,Electronics,1000kms,DRV-5020574
Varanasi,Nagpur,06-03-2026,8447 KG,25 m3,Dry Van,XPO Logistics,"₹1,168",SH100010,Next Day,-10°F,20240115,Open Yard,Processing,vin8159047,Freight Prepaid,Auto Parts,900 km,DRIVER3985848
Varanasi,Pune,03-06-2026,1395 Ton,8 CBM,Less Than Truckload,Swift Transport,1910 USD,SH100011,Same Day,35°F,01/15/2024,Ramp,On Hold,VIN-9072684,Prepaid,Plastic Goods,450-km,DRV-4302277
Mumbai,Chennai,06-03-2026,12786 Ton,35 m3,Flatbed,JB Hunt,"₹1,678",SH100012,Urgent,-5C,01/15/2024,Rear Load,Delivered,VIN-8375677,PPD,Machinery,1000kms,DRV9215720
Indore,Ranchi,32/02/2026,2800 tons,78 cu ft,Full Truck Load,UPS Logistics,"₹1,862",SH100013,Ground,5 °C,01/15/2024,Open Yard,Pending,VIN-3464658,Freight Prepaid,Auto Parts,500km,DRV-7968452
