Source,Destination,Shipment_Date,Weight,Volume,Equipment_Type,Carrier_Name,Freight_Rate,Shipment_ID,Service_Level,Temperature,Pickup_Date,Loading_Dock_Type,Shipment_Status,VIN,Payment_Terms,Commodity_Type,Distance,Driver_ID
Chandigarh,Kanpur,March 6 2026,3775 tons,47 CBM,LTL,Schneider National,1055,SH100000,Urgent,35Â°F,2024-01-15T08:30,Lift Gate,On Hold,VIN 7305745,Prepaid,Furniture,350 KM,DRV 4251273
Hyderabad,Ahmedabad,06-03-2026,16743 kg,25 cubic meters,Container,Ryder Logistics,EUR 3964,SH100001,Next Day,35Â°F,"January 15, 2024",Side Load,Picked Up,VIN 6998796,PPD,Plastic Goods,400 kilometers,DRIVER2843249
Cochi,Chandigarh,32/02/2026,6272 tons,87 cubic meters,Tanker,XPO Logistics,"USD 3,091",SH100002,Premium,40Â°F,2024-01-15T08:30,Loading Dock,Delivered,VIN 3410400,COL,Machinery,450-km,DRV 2085114
Chandigarh,Ahmedabad,03-06-2026,15546 Ton,15 cubic meters,Dry Van,Ryder Logistics,"EUR 1,972",SH100003,Economy,2C,15-01-2024,Forklift,Picked Up,VIN1017739,Freight Collect,Textiles,250 km,DRV 7255801
Mumbai,Kanpur,Feb 6 2026,6356 KG,22 CBM,Dry Van,Swift Transport,3575 USD,SH100004,Ground,-10Â°F,Jan 15 2024,Loading Dock,Picked Up,VIN:2871002,PPD,Steel,1000kms,DRIVER6299254
Raipur,Vijayawada,06-03-2026,19459 lbs,40 m3,Lowboy,FedEx Freight,USD 2129,SH100005,Standard,20 Â°C,15-01-2024,Rear Load,Cancelled,VIN1343243,Collect,Auto Parts,450-km,DRV7073244
Mumbai,Trichy,Feb 6 2026,9860 KG,34 CBM,FTL,FedEx Freight,2053,SH100006,Economy,Cold,15-01-2024,Ramp,Processing,VIN-8610251,Freight Collect,Plastic Goods,500km,DRV-1357236
Ranchi,Mumbai,03-06-2026,14315 lbs,12 cu ft,FTL,FedEx Freight,$1019,SH100007,STD,40Â°F,20240115,Loading Dock,On Hold,VIN 3225715,Collect,Electronics,900 km,DRV8792155
Cochi,Chandigarh,March 6 2026,7556 tons,8 cu ft,Dry Van,UPS Logistics,2802,SH100008,Express,40Â°F,15-01-2024,Open Yard,Cancelled,vin2502247,COL,FMCG,700 km,DRV 9829412
Varanasi,Pune,Feb 6 2026,3983 tons,50 cu ft,FTL,Schneider National,USD 3648,SH100009,Urgent,-10Â°F,01/15/2024,Forklift,Pending,VIN 6928620,Prepaid,Electronics,1000kms,DRV-5020574
Varanasi,Nagpur,06-03-2026,8447 KG,25 m3,Dry Van,XPO Logistics,"â‚¹1,168",SH100010,Next Day,-10Â°F,20240115,Open Yard,Processing,vin8159047,Freight Prepaid,Auto Parts,900 km,DRIVER3985848
Varanasi,Pune,03-06-2026,1395 Ton,8 CBM,Less Than Truckload,Swift Transport,1910 USD,SH100011,Same Day,35Â°F,01/15/2024,Ramp,On Hold,VIN-9072684,Prepaid,Plastic Goods,450-km,DRV-4302277
Mumbai,Chennai,06-03-2026,12786 Ton,35 m3,Flatbed,JB Hunt,"â‚¹1,678",SH100012,Urgent,-5C,01/15/2024,Rear Load,Delivered,VIN-8375677,PPD,Machinery,1000kms,DRV9215720
Indore,Ranchi,32/02/2026,2800 tons,78 cu ft,Full Truck Load,UPS Logistics,"â‚¹1,862",SH100013,Ground,5 Â°C,01/15/2024,Open Yard,Pending,VIN-3464658,Freight Prepaid,Auto Parts,500km,DRV-7968452
Madurai,Noida,32/02/2026,3713 Ton,40 CBM,Flatbed,Landstar System,1728 USD,SH100014,Economy,35Â°F,"January 15, 2024",No Dock,Pending,VIN:6997174,STC,Textiles,700 km,DRV-6008407
Noida,Hosur,06-03-2026,858 Ton,60 cu ft,Lowboy,Knight Transportation,3981,SH100015,Same Day,8C,01/15/2024,No Dock,On Hold,VIN:9928222,Freight Prepaid,Furniture,900 km,drv2607497
Hyderabad,Ahmedabad,03-06-2026,4714 KG,16 CBM,FTL,Schneider National,EUR 1980,SH100016,Priority,Ambient,"January 15, 2024",Dock,Picked Up,vin8418662,Collect,Textiles,500km,DRV-4952473
Vijayawada,Ahmedabad,03-06-2026,1696 Ton,39 CBM,LTL,SWIFT TRANSPORT,"EUR 3,714",SH100017,Express,35Â°F,2024-01-15T08:30,Loading Dock,Pending,VIN 9869654,Freight Prepaid,Plastic Goods,300km,DRV-6113304
Visakhapatnam,Chandigarh,06-03-2026,4278 Ton,35 m3,Tanker,XPO Logistics,USD 2763,SH100018,STD,8C,20240115,Dock,Delayed,VIN-2678410,Collect,Furniture,600 KM,DRIVER6522486
Hyderabad,Visakhapatnam,03-06-2026,16539 KG,40 CBM,Lowboy,Ryder Logistics,1060 USD,SH100019,Same Day,8C,"January 15, 2024",No Dock,Processing,VIN:4311168,PPD,Agricultural Products,400 kilometers,DRIVER1934037
Chandigarh,Mumbai,32/02/2026,11081 lbs,31 CBM,Less Than Truckload,Schneider National,2302 USD,SH100020,Ground,2C,15-01-2024,No Dock,Delivered,vin8752267,Freight Collect,Auto Parts,450-km,DRV3632591
Cochi,Chandigarh,Feb 6 2026,1889 Ton,94 CBM,Step Deck,FedEx Freight,1323,SH100021,Premium,5 Â°C,20240115,Rear Load,Processing,vin1284575,Freight Collect,Textiles,500km,DRV8452315
Chennai,Visakhapatnam,06-03-2026,6969 tons,89 CBM,LTL,SWIFT TRANSPORT,3811 USD,SH100022,Next Day,-10Â°F,01/15/2024,Loading Dock,Picked Up,VIN:1453429,STC,Agricultural Products,250 km,DRV 7265980
Nagpur,Delhi,32/02/2026,19134 kg,51 cu ft,Flatbed,JB Hunt,1798 USD,SH100023,Next Day,2Â°C,2024-01-15T08:30,Lift Gate,Pending,vin1840380,Freight Collect,Machinery,600 KM,drv4217147
Cochi,Chandigarh,March 6 2026,5307 tons,77 m3,LTL,SWIFT TRANSPORT,USD 3317,SH100024,Priority,Cold,01/15/2024,No Dock,Processing,VIN 5699355,COL,Machinery,500km,DRV-3587397
Indore,Ranchi,03-06-2026,19343 lbs,26 cu ft,Reefer,UPS Logistics,2884 USD,SH100025,Priority,5 Â°C,15-01-2024,Ramp,Delayed,VIN 7508446,Freight Collect,Machinery,800 KM,drv7588207
Patna,Chennai,06-03-2026,6445 Ton,36 m3,Less Than Truckload,Maersk Line,USD 1669,SH100026,Ground,-10Â°F,15-01-2024,Lift Gate,On Hold,VIN:6287038,Freight Collect,FMCG,250 km,DRV-3491993
Noida,Hosur,03-06-2026,15746 KG,37 m3,Tanker,UPS Logistics,3832,SH100027,STD,Frozen,01/15/2024,Ramp,Delayed,VIN-6401727,STC,Agricultural Products,300km,drv6731189
Nagpur,Delhi,03-06-2026,13945 lbs,17 cu ft,Less Than Truckload,FedEx Freight,2468 USD,SH100028,Overnight,Cold,2024-01-15T08:30,Dock,In Transit,VIN-8814508,STC,Furniture,900 km,DRV7397916
Mumbai,Delhi,06-03-2026,16442 Ton,35 cubic meters,Container,XPO Logistics,$2817,SH100029,Same Day,2Â°C,15-01-2024,Rear Load,Cancelled,vin8567734,Collect,Electronics,1000kms,DRV 3451763
